Year of award,Name,Film,Oscar category,Birth place,Birth date,Race/Ethnicity,Religion,Sexual orientation,Bio URL,_unit_state
1930,Warner Baxter,In Old Arizona,Best Actor,"Columbus, Oh",29-Mar-1889,White,Na,Straight,http://www.nndb.com/people/739/000063550/,finalized
1938,Alice Brady,In Old Chicago,Best Supporting Actress,New York City,2-Nov-1892,White,Na,Straight,http://www.nndb.com/people/079/000063887/,finalized
1968,Rod Steiger,In the Heat of the Night,Best Actor,"Westhampton, Ny",14-Apr-25,White,Lutheran,Straight,http://www.nndb.com/people/762/000026684/,finalized
2010,Christoph Waltz,Inglourious Basterds,Best Supporting Actor,Na,4-Oct-56,White,Na,Straight,http://www.nndb.com/people/455/000213813/,finalized
2002,Jim Broadbent,Iris,Best Supporting Actor,"Lincoln, Lincolnshire, England",24-May-49,White,Na,Straight,http://www.nndb.com/people/092/000063900/,finalized
1935,Clark Gable,It Happened One Night,Best Actor,"Cadiz, Oh",1-Feb-01,White,Na,Straight,http://www.nndb.com/people/156/000027075/,finalized
1997,"Cuba Gooding, Jr.",Jerry Maguire,Best Supporting Actor,"Bronx, Ny",2-Jan-68,Black,Na,Straight,http://www.nndb.com/people/587/000023518/,finalized
1939,Bette Davis,Jezebel,Best Actress,"Lowell, Ma",5-Apr-08,White,Na,Straight,http://www.nndb.com/people/457/000026379/,finalized
1949,Jane Wyman,Johnny Belinda,Best Actress,"St. Joseph, Mo",5-Jan-17,White,Roman Catholic,Straight,http://www.nndb.com/people/656/000022590/,finalized
1943,Van Heflin,Johnny Eager,Best Supporting Actor,"Walters, Ok",13-Dec-10,White,Na,Straight,http://www.nndb.com/people/680/000042554/,finalized
1962,Maximilian Schell,Judgement at Nuremberg,Best Actor,"Vienna, Austria",8-Dec-30,White,Na,Straight,http://www.nndb.com/people/351/000023282/,finalized
1978,Jason Robards,Julia,Best Supporting Actor,"Chicago, Il",26-Jul-22,White,Na,Straight,http://www.nndb.com/people/224/000032128/,finalized
1939,Walter Brennan,Kentucky,Best Supporting Actor,"Swampscott, Ma",25-Jul-1894,White,Na,Straight,http://www.nndb.com/people/347/000032251/,finalized
1949,Claire Trevor,Key Largo,Best Supporting Actress,New York City,8-Mar-10,White,Na,Straight,http://www.nndb.com/people/085/000063893/,finalized
1986,William Hurt,Kiss of the Spider Woman,Best Actor,"Washington, Dc",20-Mar-50,White,Lutheran,Straight,http://www.nndb.com/people/683/000023614/,finalized
1941,Ginger Rogers,Kitty Foyle,Best Actress,"Independence, Mo",16-Jul-11,White,Christian Science,Straight,http://www.nndb.com/people/635/000043506/,finalized
1972,Jane Fonda,Klute,Best Actress,New York City,21-Dec-37,White,Born-Again Christian,Straight,http://www.nndb.com/people/637/000022571/,finalized
1980,Dustin Hoffman,Kramer vs. Kramer,Best Actor,"Los Angeles, Ca",8-Aug-37,White,Jewish,Straight,http://www.nndb.com/people/882/000022816/,finalized
1998,Kim Basinger,L.A. Confidential,Best Supporting Actress,"Athens, Ga",8-Dec-53,White,Na,Straight,http://www.nndb.com/people/310/000025235/,finalized
1963,David Lean,Lawrence of Arabia,Best Director,"Croydon, Surrey, England",25-Mar-08,White,Na,Straight,http://www.nndb.com/people/462/000032366/,finalized
1996,Nicolas Cage,Leaving Las Vegas,Best Actor,"Long Beach, Ca",7-Jan-64,White,Roman Catholic,Straight,http://www.nndb.com/people/751/000022685/,finalized
2013,Anne Hathaway,Les Miserarables,Best Supporting Actress,"Brooklyn, Ny",12-Nov-82,White,Christian,Straight,http://www.nndb.com/people/220/000032124/,finalized
1999,Roberto Benigni,Life is Beautiful,Best Actor,"Misericordia, Arezzo, Tuscany, Italy",27-Oct-52,White,Na,Straight,http://www.nndb.com/people/259/000025184/,finalized
2013,Ang Lee,Life of Pi,Best Director,"Pingtung, Taiwan",23-Oct-54,Asian,Na,Straight,http://www.nndb.com/people/394/000025319/,finalized
1964,Sidney Poitier,Lilies of the Field,Best Actor,"Miami, Fl",20-Feb-27,Black,Deist,Straight,http://www.nndb.com/people/200/000023131/,finalized
2013,Daniel Day-Lewis,Lincoln,Best Actor,"London, England",29-Apr-57,White,Na,Straight,http://www.nndb.com/people/788/000022722/,finalized
2007,Alan Arkin,Little Miss Sunshine,Best Supporting Actor,"Brooklyn, Ny",26-Mar-34,White,Jewish,Straight,http://www.nndb.com/people/777/000022711/,finalized
1957,Anthony Quinn,Lust for Life,Best Supporting Actor,"Chihuahua, Mexico",21-Apr-15,Hispanic,Na,Straight,http://www.nndb.com/people/228/000032132/,finalized
1956,Ernest Borgnine,Marty,Best Actor,"Hamden, Ct",24-Jan-17,White,Na,Straight,http://www.nndb.com/people/730/000022664/,finalized
1965,Julie Andrews,Mary Poppins,Best Actress,"Walton-on-Thames, Surrey, England",1-Oct-35,White,Na,Straight,http://www.nndb.com/people/874/000023805/,finalized
1981,Mary Steenburgen,Melvin and Howard,Best Supporting Actress,"Newport, Ar",8-Feb-53,White,Na,Straight,http://www.nndb.com/people/271/000025196/,finalized
2007,Tilda Swinton,Michael Clayton,Best Supporting Actress,"London, England",5-Nov-60,White,Na,Straight,http://www.nndb.com/people/178/000108851/,finalized
1969,John Schlesinger,Midnight Cowboy,Best Director,"London, England",16-Feb-26,White,Na,Gay,http://www.nndb.com/people/771/000032675/,finalized
1996,Mira Sorvino,Mighty Aphrodite,Best Supporting Actress,"Tenafly, Nj",28-Sep-67,White,Atheist,Straight,http://www.nndb.com/people/890/000025815/,finalized
1946,Joan Crawford,Mildred Pierce,Best Actress,"San Antonio, Tx",23-Mar-05,White,Christian Science,Bisexual,http://www.nndb.com/people/837/000031744/,finalized
2009,Sean Penn,Milk,Best Actor,"Burbank, Ca",17-Aug-60,White,Roman Catholic,Straight,http://www.nndb.com/people/331/000025256/,finalized
2005,Hilary Swank,Million Dollar Baby,Best Actress,"Lincoln, Ne",30-Jul-74,White,Na,Straight,http://www.nndb.com/people/333/000026255/,finalized
1931,Marie Dressler,Min and Bill,Best Actress,"Cobourg, Ontario, Canada",2-Nov-1868,White,Na,Straight,http://www.nndb.com/people/814/000063625/,finalized
1948,Edmund Gwenn,Miracle on 34th Street,Best Supporting Actor,"Vale of Glamorgan, Wales",26-Sep-1875,White,Na,Na,http://www.nndb.com/people/123/000063931/,finalized
1991,Kathy Bates,Misery,Best Actress,"Memphis, Tn",28-Jun-48,White,Na,Straight,http://www.nndb.com/people/907/000024835/,finalized
1956,Jack Lemmon,Mister Roberts,Best Supporting Actor,"Newton, Ma",8-Feb-25,White,Roman Catholic,Straight,http://www.nndb.com/people/714/000026636/,finalized
2004,Charlize Theron,Monster,Best Actress,"Benoni, South Africa",7-Aug-75,White,Na,Straight,http://www.nndb.com/people/146/000026068/,finalized
2002,Halle Berry,Monster's Ball,Best Actress,"Cleveland, Oh",14-Aug-66,Multiracial,Na,Straight,http://www.nndb.com/people/487/000023418/,finalized
1988,Cher,Moonstruck,Best Actress,"El Centro, Ca",20-May-46,White,Na,Bisexual,http://www.nndb.com/people/688/000022622/,finalized
1934,Katharine Hepburn,Morning Glory,Best Actress,"Hartford, Ct",12-May-07,White,Atheist,Bisexual,http://www.nndb.com/people/775/000023706/,finalized
1937,Frank Capra,Mr. Deeds Goes to Town,Best Director,"Bisacquino, Sicily, Italy",18-May-1897,White,Roman Catholic,Straight,http://www.nndb.com/people/459/000032363/,finalized
1942,Greer Garson,Mrs. Miniver,Best Actress,"London, England",29-Sep-04,White,Na,Straight,http://www.nndb.com/people/293/000044161/,finalized
